Date,price
11-06-2012,2.68
12-06-2012,2.68
13-06-2012,2.68
14-06-2012,2.68
15-06-2012,2.68
16-06-2012,2.68
17-06-2012,2.68
18-06-2012,2.68
19-06-2012,2.68
20-06-2012,2.68
21-06-2012,2.68
22-06-2012,2.68
23-06-2012,2.68
24-06-2012,2.68
25-06-2012,2.68
26-06-2012,2.68
27-06-2012,2.68
28-06-2012,2.68
29-06-2012,2.68
30-06-2012,2.68
01-07-2012,2.89
02-07-2012,2.89
03-07-2012,2.89
04-07-2012,2.89
05-07-2012,2.89
06-07-2012,2.89
07-07-2012,2.89
08-07-2012,2.89
09-07-2012,2.89
10-07-2012,2.89
11-07-2012,2.89
12-07-2012,2.89
13-07-2012,2.89
14-07-2012,2.89
15-07-2012,2.89
16-07-2012,2.89
17-07-2012,2.89
18-07-2012,2.89
19-07-2012,2.89
20-07-2012,2.89
21-07-2012,2.89
22-07-2012,2.89
23-07-2012,2.89
24-07-2012,2.89
25-07-2012,2.89
26-07-2012,2.89
27-07-2012,2.89
28-07-2012,2.89
29-07-2012,2.89
30-07-2012,2.89
31-07-2012,2.89
01-08-2012,3.16
02-08-2012,3.16
03-08-2012,3.16
04-08-2012,3.16
05-08-2012,3.16
06-08-2012,3.16
07-08-2012,3.16
08-08-2012,3.16
09-08-2012,3.16
10-08-2012,3.16
11-08-2012,3.16
12-08-2012,3.16
13-08-2012,3.16
14-08-2012,3.16
15-08-2012,3.16
16-08-2012,3.16
17-08-2012,3.16
18-08-2012,3.16
19-08-2012,3.16
20-08-2012,3.16
21-08-2012,3.16
22-08-2012,3.16
23-08-2012,3.16
24-08-2012,3.16
25-08-2012,3.16
26-08-2012,3.16
27-08-2012,3.16
28-08-2012,3.16
29-08-2012,3.16
30-08-2012,3.16
31-08-2012,3.16
01-09-2012,3.19
02-09-2012,3.19
03-09-2012,3.19
04-09-2012,3.19
05-09-2012,3.19
06-09-2012,3.19
07-09-2012,3.19
08-09-2012,3.19
09-09-2012,3.19
10-09-2012,3.19
11-09-2012,3.19
12-09-2012,3.19
13-09-2012,3.19
14-09-2012,3.19
15-09-2012,3.19
16-09-2012,3.19
17-09-2012,3.19
18-09-2012,3.19
19-09-2012,3.19
20-09-2012,3.19
21-09-2012,3.19
22-09-2012,3.19
23-09-2012,3.19
24-09-2012,3.19
25-09-2012,3.19
26-09-2012,3.19
27-09-2012,3.19
28-09-2012,3.19
29-09-2012,3.19
30-09-2012,3.19
01-10-2012,3.11
02-10-2012,3.11
03-10-2012,3.11
04-10-2012,3.11
05-10-2012,3.11
06-10-2012,3.11
07-10-2012,3.11
08-10-2012,3.11
09-10-2012,3.11
10-10-2012,3.11
11-10-2012,3.11
12-10-2012,3.11
13-10-2012,3.11
14-10-2012,3.11
15-10-2012,3.11
16-10-2012,3.11
17-10-2012,3.11
18-10-2012,3.11
19-10-2012,3.11
20-10-2012,3.11
21-10-2012,3.11
22-10-2012,3.11
23-10-2012,3.11
24-10-2012,3.11
25-10-2012,3.11
26-10-2012,3.11
27-10-2012,3.11
28-10-2012,3.11
29-10-2012,3.11
30-10-2012,3.11
31-10-2012,3.11
01-11-2012,2.96
02-11-2012,2.96
03-11-2012,2.96
04-11-2012,2.96
05-11-2012,2.96
06-11-2012,2.96
07-11-2012,2.96
08-11-2012,2.96
09-11-2012,2.96
10-11-2012,2.96
11-11-2012,2.96
12-11-2012,2.96
13-11-2012,2.96
14-11-2012,2.96
15-11-2012,2.96
16-11-2012,2.96
17-11-2012,2.96
18-11-2012,2.96
19-11-2012,2.96
20-11-2012,2.96
21-11-2012,2.96
22-11-2012,2.96
23-11-2012,2.96
24-11-2012,2.96
25-11-2012,2.96
26-11-2012,2.96
27-11-2012,2.96
28-11-2012,2.96
29-11-2012,2.96
30-11-2012,2.96
01-12-2012,2.94
02-12-2012,2.94
03-12-2012,2.94
04-12-2012,2.94
05-12-2012,2.94
06-12-2012,2.94
07-12-2012,2.94
08-12-2012,2.94
09-12-2012,2.94
10-12-2012,2.94
11-12-2012,2.94
12-12-2012,2.94
13-12-2012,2.94
14-12-2012,2.94
15-12-2012,2.94
16-12-2012,2.94
17-12-2012,2.94
18-12-2012,2.94
19-12-2012,2.94
20-12-2012,2.94
21-12-2012,2.94
22-12-2012,2.94
23-12-2012,2.94
24-12-2012,2.94
25-12-2012,2.94
26-12-2012,2.94
27-12-2012,2.94
28-12-2012,2.94
29-12-2012,2.94
30-12-2012,2.94
31-12-2012,2.94
01-01-2013,3.09
02-01-2013,3.09
03-01-2013,3.09
04-01-2013,3.09
05-01-2013,3.09
06-01-2013,3.09
07-01-2013,3.09
08-01-2013,3.09
09-01-2013,3.09
10-01-2013,3.09
11-01-2013,3.09
12-01-2013,3.09
13-01-2013,3.09
14-01-2013,3.09
15-01-2013,3.09
16-01-2013,3.09
17-01-2013,3.09
18-01-2013,3.09
